iter	Passed	Remaining
0	149	149488
1	150	75120
2	151	50400
3	152	38013
4	153	30614
5	156	25870
6	157	22323
7	158	19625
8	159	17549
9	160	15855
10	160	14471
11	161	13314
12	162	12337
13	163	11510
14	164	10800
15	165	10164
16	165	9596
17	166	9093
18	167	8641
19	168	8234
20	169	7907
21	170	7576
22	171	7269
23	171	6987
24	172	6728
25	173	6488
26	173	6267
27	174	6064
28	175	5877
29	176	5701
30	177	5534
31	177	5380
32	178	5233
33	179	5093
34	179	4961
35	180	4839
36	181	4723
37	182	4614
38	183	4510
39	183	4411
40	184	4317
41	185	4225
42	186	4140
43	186	4061
44	187	3985
45	188	3910
46	189	3839
47	190	3770
48	190	3705
49	191	3642
50	192	3583
51	193	3527
52	194	3476
53	195	3421
54	196	3368
55	196	3316
56	197	3266
57	198	3217
58	198	3171
59	199	3131
60	200	3092
61	201	3053
62	202	3013
63	203	2973
64	204	2936
65	205	2903
66	205	2868
67	206	2834
68	207	2800
69	208	2766
70	208	2734
71	209	2703
72	210	2672
73	211	2643
74	212	2615
75	212	2587
76	213	2559
77	214	2532
78	215	2506
79	215	2481
80	216	2456
81	217	2431
82	217	2404
83	218	2380
84	219	2358
85	219	2336
86	220	2314
87	221	2292
88	221	2272
89	222	2251
90	223	2232
91	224	2212
92	224	2193
93	225	2174
94	226	2156
95	227	2137
96	227	2120
97	228	2102
98	229	2085
99	229	2068
100	230	2052
101	231	2035
102	231	2020
103	232	2004
104	233	1989
105	234	1974
106	234	1960
107	235	1946
108	236	1932
109	237	1918
110	237	1905
111	238	1891
112	239	1878
113	240	1866
114	240	1853
115	241	1841
116	242	1829
117	243	1817
118	243	1805
119	244	1794
120	245	1782
121	245	1770
122	246	1758
123	247	1747
124	248	1736
125	248	1726
126	249	1715
127	250	1704
128	250	1694
129	251	1683
130	252	1673
131	253	1664
132	253	1654
133	254	1644
134	255	1635
135	255	1625
136	256	1616
137	257	1607
138	258	1598
139	258	1589
140	259	1580
141	259	1570
142	260	1562
143	261	1554
144	262	1546
145	262	1538
146	263	1530
147	264	1521
148	265	1514
149	265	1506
150	266	1499
151	267	1491
